sku_id,producto,precio_unitario,almacen_id
HW-0001,NVIDIA RTX 4080,1090.05,105
HW-0002,Samsung 990 Pro 1TB,1117.3,102
HW-0003,Corsair Vengeance DDR5 32GB,1035.56,103
HW-0004,Intel Core i7-13700K,633.9,105
HW-0005,AMD Ryzen 9 7950X,671.95,103
HW-0006,Corsair Vengeance DDR5 32GB,119.0,101
HW-0007,Samsung 990 Pro 1TB,111.39,101
HW-0008,Samsung 990 Pro 1TB,977.33,102
HW-0009,Intel Core i7-13700K,838.45,105
HW-0010,AMD Ryzen 9 7950X,407.54,105
HW-0011,Samsung 990 Pro 1TB,498.15,103
HW-0012,Logitech G502,821.48,103
HW-0013,Corsair Vengeance DDR5 32GB,1063.83,102
HW-0014,Corsair Vengeance DDR5 32GB,881.77,105
HW-0015,Logitech G502,738.55,102
HW-0016,Intel Core i7-13700K,486.42,104
HW-0017,Corsair Vengeance DDR5 32GB,700.88,103
HW-0018,Logitech G502,1003.67,101
HW-0019,Samsung 990 Pro 1TB,896.42,101
HW-0020,Intel Core i7-13700K,257.98,101
HW-0021,NVIDIA RTX 4080,948.77,101
HW-0022,Corsair Vengeance DDR5 32GB,1138.82,102
HW-0023,Logitech G502,364.0,104
HW-0024,Logitech G502,463.11,102
HW-0025,Corsair Vengeance DDR5 32GB,377.38,102
HW-0026,Logitech G502,648.81,104
HW-0027,Logitech G502,417.85,103
HW-0028,Logitech G502,835.86,103
HW-0029,Samsung 990 Pro 1TB,616.85,105
HW-0030,Logitech G502,208.26,103
HW-0031,Intel Core i7-13700K,816.34,105
HW-0032,Intel Core i7-13700K,285.25,102
HW-0033,Logitech G502,1132.14,101
HW-0034,Intel Core i7-13700K,1012.82,103
HW-0035,Samsung 990 Pro 1TB,851.76,104
HW-0036,AMD Ryzen 9 7950X,939.79,101
HW-0037,Intel Core i7-13700K,170.79,105
HW-0038,Corsair Vengeance DDR5 32GB,543.01,102
HW-0039,Corsair Vengeance DDR5 32GB,912.1,101
HW-0040,Logitech G502,592.25,105
HW-0041,Intel Core i7-13700K,570.21,104
HW-0042,Logitech G502,310.57,101
HW-0043,AMD Ryzen 9 7950X,659.24,105
HW-0044,Logitech G502,155.34,102
HW-0045,AMD Ryzen 9 7950X,980.44,103
HW-0046,Samsung 990 Pro 1TB,753.72,105
HW-0047,NVIDIA RTX 4080,906.44,105
HW-0048,Logitech G502,400.33,105
HW-0049,NVIDIA RTX 4080,103.33,104
HW-0050,Samsung 990 Pro 1TB,1135.93,102
HW-0051,Intel Core i7-13700K,746.96,101
HW-0052,Samsung 990 Pro 1TB,754.82,104
HW-0053,NVIDIA RTX 4080,584.91,105
HW-0054,NVIDIA RTX 4080,700.22,101
HW-0055,Corsair Vengeance DDR5 32GB,800.51,102
HW-0056,Corsair Vengeance DDR5 32GB,610.16,103
HW-0057,Corsair Vengeance DDR5 32GB,576.97,101
HW-0058,Intel Core i7-13700K,1086.95,102
HW-0059,AMD Ryzen 9 7950X,531.0,103
HW-0060,AMD Ryzen 9 7950X,716.71,105
HW-0061,Corsair Vengeance DDR5 32GB,283.59,102
HW-0062,Logitech G502,255.36,105
HW-0063,NVIDIA RTX 4080,1134.33,101
