Edad,Ingreso_Anual,Puntuacion_Gasto,Indice_Ahorro,Historial_Credito,target_column
45,95744,45,25410,1.0,Premium
38,67757,43,15020,0.62,Estándar
47,95103,37,23692,0.82,Premium
58,102046,8,25899,0.69,Estándar
37,72880,23,21055,0.84,Estándar
37,75880,8,19680,0.74,Estándar
58,106044,75,17772,0.94,Premium
49,80091,5,23275,0.63,Estándar
34,82054,68,19411,0.61,Estándar
46,98075,57,19072,0.68,Estándar
34,69829,92,12883,0.52,Estándar
34,78475,33,18325,0.69,Estándar
42,79818,69,17614,0.78,Estándar
17,37642,36,11221,0.76,Bajo Perfil
19,48935,39,12755,0.78,Estándar
33,60148,26,18093,0.91,Estándar
27,65372,64,14256,0.85,Estándar
43,78879,29,24806,0.69,Estándar
29,50699,82,8472,0.86,Estándar
23,25482,8,9602,0.77,Bajo Perfil
57,104483,68,23064,0.65,Estándar
37,78065,91,17145,0.77,Estándar
40,90701,93,15606,0.68,Estándar
22,39119,24,11518,0.59,Bajo Perfil
33,77573,35,14639,0.63,Estándar
41,77602,49,16675,0.45,Bajo Perfil
26,58506,40,15112,0.49,Bajo Perfil
44,86046,89,13599,0.59,Estándar
32,67916,24,13245,0.62,Estándar
36,57735,81,10579,0.73,Estándar
32,73726,10,17963,0.79,Estándar
62,119676,78,25836,0.7,Estándar
39,86153,60,16378,0.83,Premium
27,64399,41,15902,0.78,Estándar
49,91843,79,18478,0.53,Estándar
25,45755,81,12052,0.64,Estándar
42,86588,33,21074,0.71,Estándar
16,44308,96,10348,0.64,Bajo Perfil
24,55980,90,12220,0.86,Estándar
42,86525,82,20087,0.69,Estándar
48,91639,96,15257,0.66,Estándar
42,79447,73,16981,0.51,Estándar
38,67560,6,19011,0.7,Estándar
36,73953,76,19398,0.68,Estándar
22,64786,62,13731,0.54,Estándar
31,57678,52,16996,0.65,Estándar
34,79025,82,17702,0.78,Estándar
52,103716,23,23557,0.51,Estándar
44,72303,91,16928,0.62,Estándar
18,51868,63,13739,0.86,Estándar
43,84645,64,20557,0.83,Estándar
35,71832,70,14043,0.66,Estándar
31,82469,52,18030,0.89,Estándar
47,98030,87,20453,0.7,Estándar
52,90574,7,25223,0.74,Estándar
51,101617,58,25550,0.79,Premium
29,56165,37,16084,0.81,Estándar
36,67002,73,15970,0.54,Estándar
43,85783,92,18354,0.6,Estándar
51,105889,97,22753,0.77,Premium
34,59101,11,16172,0.64,Estándar
37,71469,1,19418,0.67,Estándar
26,68406,51,13462,0.79,Estándar
25,49973,82,10447,0.69,Estándar
49,93751,32,22726,0.79,Premium
56,101514,29,23634,0.8,Premium
39,88712,31,19500,0.82,Premium
52,100550,12,23981,0.62,Estándar
44,83610,75,17079,0.8,Estándar
32,61307,57,17928,0.67,Estándar
44,102840,8,24844,1.0,Premium
58,106393,48,25405,0.91,Premium
39,76689,25,21401,0.82,Estándar
58,110994,27,28643,0.58,Estándar
8,37750,76,11901,0.74,Bajo Perfil
49,82299,81,14530,0.91,Estándar
41,79979,45,19136,1.0,Estándar
36,65421,82,18458,0.75,Estándar
41,76983,24,22842,0.36,Bajo Perfil
16,54187,73,12890,0.73,Estándar
37,84727,20,18199,0.64,Estándar
44,90710,79,18309,0.44,Bajo Perfil
57,94258,26,23068,0.63,Estándar
33,70993,67,16431,0.59,Estándar
30,60395,22,13882,0.66,Estándar
33,77435,74,14437,0.71,Estándar
50,90493,80,20515,0.87,Premium
43,77875,75,17037,0.46,Bajo Perfil
33,72385,24,18392,0.62,Estándar
46,98708,94,17919,0.81,Premium
41,90043,38,20829,0.6,Estándar
51,106894,98,22304,0.83,Premium
31,76967,55,20975,0.75,Estándar
36,87061,48,23323,0.75,Premium
35,73945,65,18902,0.65,Estándar
22,49442,95,6411,0.7,Estándar
43,77895,68,19074,0.5,Bajo Perfil
43,94057,48,22093,0.78,Premium
40,78619,71,17007,0.76,Estándar
37,68220,96,12335,0.41,Bajo Perfil
23,58680,55,14344,0.59,Estándar
34,59420,100,11917,0.75,Estándar
35,63859,39,16152,0.7,Estándar
30,66738,56,11500,0.63,Estándar
38,84056,53,21270,0.92,Estándar
44,83352,62,21108,0.69,Estándar
62,111139,64,22949,0.71,Estándar
42,89293,73,21657,0.86,Premium
43,91132,96,15522,0.42,Bajo Perfil
39,61901,80,16080,0.3,Bajo Perfil
