Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salario_mensual_usd
0,2020,MI,FT,DATA SCIENTIST,70000,EUR,79833,DE,0,DE,L,6652.75
1,2020,SE,FT,MACHINE LEARNING SCIENTIST,260000,USD,260000,JP,0,JP,S,21666.666666666668
2,2020,SE,FT,BIG DATA ENGINEER,85000,GBP,109024,GB,50,GB,M,9085.333333333334
3,2020,MI,FT,PRODUCT DATA ANALYST,20000,USD,20000,HN,0,HN,S,1666.6666666666667
4,2020,SE,FT,MACHINE LEARNING ENGINEER,150000,USD,150000,US,50,US,L,12500.0
5,2020,EN,FT,DATA ANALYST,72000,USD,72000,US,100,US,L,6000.0
6,2020,SE,FT,LEAD DATA SCIENTIST,190000,USD,190000,US,100,US,S,15833.333333333334
7,2020,MI,FT,DATA SCIENTIST,11000000,HUF,35735,HU,50,HU,L,2977.9166666666665
8,2020,MI,FT,BUSINESS DATA ANALYST,135000,USD,135000,US,100,US,L,11250.0
9,2020,SE,FT,LEAD DATA ENGINEER,125000,USD,125000,NZ,50,NZ,S,10416.666666666666
10,2020,EN,FT,DATA SCIENTIST,45000,EUR,51321,FR,0,FR,S,4276.75
11,2020,MI,FT,DATA SCIENTIST,3000000,INR,40481,IN,0,IN,L,3373.4166666666665
12,2020,EN,FT,DATA SCIENTIST,35000,EUR,39916,FR,0,FR,M,3326.3333333333335
13,2020,MI,FT,LEAD DATA ANALYST,87000,USD,87000,US,100,US,L,7250.0
14,2020,MI,FT,DATA ANALYST,85000,USD,85000,US,100,US,L,7083.333333333333
15,2020,MI,FT,DATA ANALYST,8000,USD,8000,PK,50,PK,L,666.6666666666666
16,2020,EN,FT,DATA ENGINEER,4450000,JPY,41689,JP,100,JP,S,3474.0833333333335
17,2020,SE,FT,BIG DATA ENGINEER,100000,EUR,114047,PL,100,GB,S,9503.916666666666
18,2020,EN,FT,DATA SCIENCE CONSULTANT,423000,INR,5707,IN,50,IN,M,475.5833333333333
19,2020,MI,FT,LEAD DATA ENGINEER,56000,USD,56000,PT,100,US,M,4666.666666666667
20,2020,MI,FT,MACHINE LEARNING ENGINEER,299000,CNY,43331,CN,0,CN,M,3610.9166666666665
21,2020,MI,FT,PRODUCT DATA ANALYST,450000,INR,6072,IN,100,IN,L,506.0
22,2020,SE,FT,DATA ENGINEER,42000,EUR,47899,GR,50,GR,L,3991.5833333333335
23,2020,MI,FT,BI DATA ANALYST,98000,USD,98000,US,0,US,M,8166.666666666667
24,2020,MI,FT,LEAD DATA SCIENTIST,115000,USD,115000,AE,0,AE,L,9583.333333333334
25,2020,EX,FT,DIRECTOR OF DATA SCIENCE,325000,USD,325000,US,100,US,L,27083.333333333332
26,2020,EN,FT,RESEARCH SCIENTIST,42000,USD,42000,NL,50,NL,L,3500.0
27,2020,SE,FT,DATA ENGINEER,720000,MXN,33511,MX,0,MX,S,2792.5833333333335
28,2020,EN,CT,BUSINESS DATA ANALYST,100000,USD,100000,US,100,US,L,8333.333333333334
29,2020,SE,FT,MACHINE LEARNING MANAGER,157000,CAD,117104,CA,50,CA,L,9758.666666666666
30,2020,MI,FT,DATA ENGINEERING MANAGER,51999,EUR,59303,DE,100,DE,S,4941.916666666667
31,2020,EN,FT,BIG DATA ENGINEER,70000,USD,70000,US,100,US,L,5833.333333333333
32,2020,SE,FT,DATA SCIENTIST,60000,EUR,68428,GR,100,US,L,5702.333333333333
33,2020,MI,FT,RESEARCH SCIENTIST,450000,USD,450000,US,0,US,M,37500.0
34,2020,MI,FT,DATA ANALYST,41000,EUR,46759,FR,50,FR,L,3896.5833333333335
35,2020,MI,FT,DATA ENGINEER,65000,EUR,74130,AT,50,AT,L,6177.5
36,2020,MI,FT,DATA SCIENCE CONSULTANT,103000,USD,103000,US,100,US,L,8583.333333333334
37,2020,EN,FT,MACHINE LEARNING ENGINEER,250000,USD,250000,US,50,US,L,20833.333333333332
38,2020,EN,FT,DATA ANALYST,10000,USD,10000,NG,100,NG,S,833.3333333333334
